Semana,Time,Melhor caso,Pior caso
2025-10-06,GOL,64.0,64
2025-10-06,TERA,31.0,31
2025-10-06,OPTIMUS,72.0,72
2025-10-06,NIVUS,53.0,53
2025-10-06,TAOS,16.0,16
2025-10-06,FUSCA,21.0,21
2025-10-06,UP,39.0,39
2025-10-13,GOL,64.0,64
2025-10-13,TERA,31.0,31
2025-10-13,OPTIMUS,72.0,72
2025-10-13,NIVUS,53.0,53
2025-10-13,TAOS,16.0,16
2025-10-13,FUSCA,21.0,21
2025-10-13,UP,39.0,39
2025-10-20,GOL,64.0,64
2025-10-20,TERA,31.0,31
2025-10-20,OPTIMUS,72.0,72
2025-10-20,NIVUS,53.0,53
2025-10-20,TAOS,16.0,16
2025-10-20,FUSCA,21.0,21
2025-10-20,UP,39.0,39
2025-10-27,GOL,63.0,63
2025-10-27,TERA,31.0,31
2025-10-27,OPTIMUS,70.0,70
2025-10-27,NIVUS,53.0,53
2025-10-27,TAOS,16.0,16
2025-10-27,FUSCA,21.0,21
2025-10-27,UP,39.0,39
2025-11-03,GOL,63.0,63
2025-11-03,TERA,31.0,31
2025-11-03,OPTIMUS,69.0,69
2025-11-03,NIVUS,53.0,53
2025-11-03,TAOS,16.0,16
2025-11-03,FUSCA,21.0,21
2025-11-03,UP,39.0,39
2025-11-10,GOL,62.0,62
2025-11-10,TERA,31.0,31
2025-11-10,OPTIMUS,68.0,68
2025-11-10,NIVUS,53.0,53
2025-11-10,TAOS,16.0,16
2025-11-10,FUSCA,21.0,21
2025-11-10,UP,38.0,38
2025-11-17,GOL,57.0,57
2025-11-17,TERA,31.0,31
2025-11-17,OPTIMUS,68.0,68
2025-11-17,NIVUS,53.0,53
2025-11-17,TAOS,16.0,16
2025-11-17,FUSCA,21.0,21
2025-11-17,UP,37.0,37
2025-11-24,GOL,55.0,55
2025-11-24,TERA,31.0,31
2025-11-24,OPTIMUS,68.0,68
2025-11-24,NIVUS,53.0,53
2025-11-24,TAOS,16.0,16
2025-11-24,FUSCA,21.0,21
2025-11-24,UP,35.0,35
2025-12-01,GOL,51.0,51
2025-12-01,TERA,31.0,31
2025-12-01,OPTIMUS,67.0,67
2025-12-01,NIVUS,53.0,53
2025-12-01,TAOS,16.0,16
2025-12-01,FUSCA,21.0,21
2025-12-01,UP,25.0,25
2025-12-08,GOL,49.0,49
2025-12-08,TERA,31.0,31
2025-12-08,OPTIMUS,65.0,65
2025-12-08,NIVUS,53.0,53
2025-12-08,TAOS,16.0,16
2025-12-08,FUSCA,21.0,21
2025-12-08,UP,25.0,25
2025-12-15,GOL,46.0,46
2025-12-15,TERA,31.0,31
2025-12-15,OPTIMUS,59.0,59
2025-12-15,NIVUS,53.0,53
2025-12-15,TAOS,16.0,16
2025-12-15,FUSCA,21.0,21
2025-12-15,UP,20.0,20
2025-12-22,GOL,44.0,44
2025-12-22,TERA,31.0,31
2025-12-22,OPTIMUS,56.0,56
2025-12-22,NIVUS,53.0,53
2025-12-22,TAOS,15.0,15
2025-12-22,FUSCA,21.0,21
2025-12-22,UP,17.0,17
2025-12-29,GOL,43.0,43
2025-12-29,TERA,31.0,31
2025-12-29,OPTIMUS,54.0,54
2025-12-29,NIVUS,53.0,53
2025-12-29,TAOS,15.0,15
2025-12-29,FUSCA,21.0,21
2025-12-29,UP,16.0,16
2026-01-05,GOL,43.0,43
2026-01-05,TERA,31.0,31
2026-01-05,OPTIMUS,53.0,53
2026-01-05,NIVUS,53.0,53
2026-01-05,TAOS,15.0,15
2026-01-05,FUSCA,21.0,21
2026-01-05,UP,14.0,14
2026-01-12,GOL,41.0,41
2026-01-12,TERA,31.0,31
2026-01-12,OPTIMUS,53.0,53
2026-01-12,NIVUS,53.0,53
2026-01-12,TAOS,14.0,14
2026-01-12,FUSCA,21.0,21
2026-01-12,UP,9.0,9
2026-01-19,GOL,38.0,38
2026-01-19,TERA,31.0,31
2026-01-19,OPTIMUS,52.0,52
2026-01-19,NIVUS,53.0,53
2026-01-19,TAOS,14.0,14
2026-01-19,FUSCA,21.0,21
2026-01-19,UP,9.0,9
2026-01-26,GOL,34.0,34
2026-01-26,TERA,31.0,31
2026-01-26,OPTIMUS,52.0,52
2026-01-26,NIVUS,53.0,53
2026-01-26,TAOS,13.0,13
2026-01-26,FUSCA,21.0,21
2026-01-26,UP,9.0,9
2026-02-02,GOL,33.0,33
2026-02-02,TERA,30.0,30
2026-02-02,OPTIMUS,52.0,52
2026-02-02,NIVUS,47.0,47
2026-02-02,TAOS,13.0,13
2026-02-02,FUSCA,21.0,21
2026-02-02,UP,9.0,9
2026-02-09,GOL,32.0,32
2026-02-09,TERA,29.0,29
2026-02-09,OPTIMUS,44.0,44
2026-02-09,NIVUS,46.0,46
2026-02-09,TAOS,12.0,12
2026-02-09,FUSCA,20.0,20
2026-02-09,UP,8.0,8
2026-02-16,GOL,31.0,31
2026-02-16,TERA,26.0,26
2026-02-16,OPTIMUS,40.0,40
2026-02-16,NIVUS,38.0,38
2026-02-16,TAOS,12.0,12
2026-02-16,FUSCA,20.0,20
2026-02-16,UP,7.0,7
2026-02-23,GOL,28.0,28
2026-02-23,TERA,26.0,26
2026-02-23,OPTIMUS,33.0,33
2026-02-23,NIVUS,35.0,35
2026-02-23,TAOS,11.0,11
2026-02-23,FUSCA,16.0,16
2026-02-23,UP,6.0,6
2026-03-02,GOL,28.0,28
2026-03-02,TERA,23.0,23
2026-03-02,OPTIMUS,26.0,26
2026-03-02,NIVUS,34.0,34
2026-03-02,TAOS,11.0,11
2026-03-02,FUSCA,16.0,16
2026-03-02,UP,3.0,3
2026-03-09,GOL,28.0,28
2026-03-09,TERA,17.0,17
2026-03-09,OPTIMUS,18.0,18
2026-03-09,NIVUS,27.0,27
2026-03-09,TAOS,9.0,9
2026-03-09,FUSCA,11.0,11
2026-03-09,UP,2.0,2
2026-03-16,GOL,28.0,28
2026-03-16,TERA,14.0,14
2026-03-16,OPTIMUS,16.0,16
2026-03-16,NIVUS,21.0,21
2026-03-16,TAOS,6.0,6
2026-03-16,FUSCA,10.0,10
2026-03-16,UP,1.0,1
2026-03-23,GOL,21.0,21
2026-03-23,TERA,10.0,10
2026-03-23,OPTIMUS,9.0,9
2026-03-23,NIVUS,17.0,17
2026-03-23,TAOS,5.0,5
2026-03-23,FUSCA,7.0,7
2026-03-23,UP,1.0,1
2026-03-30,GOL,21.0,21
2026-03-30,TERA,10.0,10
2026-03-30,OPTIMUS,9.0,9
2026-03-30,NIVUS,13.0,13
2026-03-30,TAOS,5.0,5
2026-03-30,FUSCA,7.0,7
2026-03-30,UP,0.0,0
2026-04-06,GOL,14.0,20
2026-04-06,TERA,5.0,9
2026-04-06,OPTIMUS,1.0,8
2026-04-06,NIVUS,5.0,12
2026-04-06,TAOS,2.0,4
2026-04-06,FUSCA,2.0,6
2026-04-13,GOL,7.0,19
2026-04-13,TERA,0.0,8
2026-04-13,OPTIMUS,0.0,7
2026-04-13,NIVUS,0.0,11
2026-04-13,TAOS,0.0,3
2026-04-13,FUSCA,0.0,5
2026-04-20,GOL,0.0,18
2026-04-20,TERA,,7
2026-04-20,OPTIMUS,,6
2026-04-20,NIVUS,,10
2026-04-20,TAOS,,2
2026-04-20,FUSCA,,4
2026-04-27,GOL,,17
2026-04-27,TERA,,6
2026-04-27,OPTIMUS,,5
2026-04-27,NIVUS,,9
2026-04-27,TAOS,,1
2026-04-27,FUSCA,,3
2026-05-04,GOL,,16
2026-05-04,TERA,,5
2026-05-04,OPTIMUS,,4
2026-05-04,NIVUS,,8
2026-05-04,TAOS,,0
2026-05-04,FUSCA,,2
2026-05-11,GOL,,15
2026-05-11,TERA,,4
2026-05-11,OPTIMUS,,3
2026-05-11,NIVUS,,7
2026-05-11,FUSCA,,1
2026-05-18,GOL,,14
2026-05-18,TERA,,3
2026-05-18,OPTIMUS,,2
2026-05-18,NIVUS,,6
2026-05-18,FUSCA,,0
2026-05-25,GOL,,13
2026-05-25,TERA,,2
2026-05-25,OPTIMUS,,1
2026-05-25,NIVUS,,5
2026-06-01,GOL,,12
2026-06-01,TERA,,1
2026-06-01,OPTIMUS,,0
2026-06-01,NIVUS,,4
2026-06-08,GOL,,11
2026-06-08,TERA,,0
2026-06-08,NIVUS,,3
2026-06-15,GOL,,10
2026-06-15,NIVUS,,2
2026-06-22,GOL,,9
2026-06-22,NIVUS,,1
2026-06-29,GOL,,8
2026-06-29,NIVUS,,0
2026-07-06,GOL,,7
2026-07-13,GOL,,6
2026-07-20,GOL,,5
2026-07-27,GOL,,4
2026-08-03,GOL,,3
2026-08-10,GOL,,2
2026-08-17,GOL,,1
2026-08-24,GOL,,0
